state,sa4,age,sex,atsi,education,lfs,count,areasqkm_2016,population,density
New South Wales,Sydney - Outer South West,30-34 years,Male,Not stated,Degree-level or higher,"Employed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",27,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,ATSI (any),Degree-level or higher,"Employed, any",41,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",126,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",21,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",2418,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",124,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3892,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",281,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Not stated,Degree-level or higher,"Employed, any",8,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",18,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,30-34 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,ATSI (any),Degree-level or higher,"Employed, any",15,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",131,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",15,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1692,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",51,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",5481,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",231,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Not stated,Degree-level or higher,"Employed, any",10,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",22,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,ATSI (any),Degree-level or higher,"Employed, any",33,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",130,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",17,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",2028,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",111,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3818,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",300,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Not stated,Degree-level or higher,"Employed, any",7,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",26,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,35-39 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,ATSI (any),Degree-level or higher,"Employed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",156,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",9,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1524,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",43,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",5804,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",224,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Not stated,Degree-level or higher,"Employed, any",7,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",20,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",6,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,ATSI (any),Degree-level or higher,"Employed, any",35,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",138,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",13,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1801,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",69,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4589,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",305,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Not stated,Degree-level or higher,"Employed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",23,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,40-44 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,ATSI (any),Degree-level or higher,"Employed, any",11,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",117,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",10,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1162,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",39,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",5512,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",185,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Not stated,Degree-level or higher,"Employed, any",7,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",25,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,ATSI (any),Degree-level or higher,"Employed, any",24,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",142,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",8,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1377,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",48,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4582,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",287,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Not stated,Degree-level or higher,"Employed, any",9,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",25,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,45-49 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",4,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,ATSI (any),Degree-level or higher,"Employed, any",7,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",105,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",4,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",953,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",38,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",5380,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",208,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Not stated,Degree-level or higher,"Employed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",26,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,ATSI (any),Degree-level or higher,"Employed, any",14,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",90,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",11,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1114,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",35,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4773,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",276,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Not stated,Degree-level or higher,"Employed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",30,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,50-54 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,ATSI (any),Degree-level or higher,"Employed, any",3,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",78,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",873,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",36,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4853,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",187,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Not stated,Degree-level or higher,"Employed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",35,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,ATSI (any),Degree-level or higher,"Employed, any",16,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",91,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",6,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",928,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",18,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3963,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",202,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Not stated,Degree-level or higher,"Employed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",20,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,55-59 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,ATSI (any),Degree-level or higher,"Employed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",52,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",9,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",595,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",31,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3359,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",161,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Not stated,Degree-level or higher,"Employed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",26,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",5,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,ATSI (any),Degree-level or higher,"Employed, any",6,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",51,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",4,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",535,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",17,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",2533,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",117,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Not stated,Degree-level or higher,"Employed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",18,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer South West,60-64 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,1278.4513,262065,204.98629865682017
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,ATSI (any),Degree-level or higher,"Employed, any",16,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",269,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",27,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",1305,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",65,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",6533,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",359,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Not stated,Degree-level or higher,"Employed, any",0,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",39,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",4,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,ATSI (any),Degree-level or higher,"Employed, any",41,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",3,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",192,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",28,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",2394,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",75,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",4730,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",322,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Not stated,Degree-level or higher,"Employed, any",8,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",18,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,25-29 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",5,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,30-34 years,Male,ATSI (any),Degree-level or higher,"Employed, any",20,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,30-34 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,3968.129,306933,77.34955189208819
New South Wales,Sydney - Outer West and Blue Mountains,30-34 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",208,3968.129,306933,77.34955189208819
