Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",538
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",17
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2977
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",183
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",22
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","ATSI (any)","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",656
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",24
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2215
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",107
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Not stated","Degree-level or higher","Employed, any",5
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",15
"Persons Aged 15 Years and Over Place of Work","Hume","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",83
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",24
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",649
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",22
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4315
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",399
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Not stated","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",30
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","ATSI (any)","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",51
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",11
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1494
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",27
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3022
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",289
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Not stated","Degree-level or higher","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",18
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",55
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",19
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",854
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",21
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4420
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",324
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",36
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",37
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1571
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",35
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3105
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",255
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",25
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",41
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",857
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",23
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4241
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",292
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",34
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",46
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1466
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",37
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3072
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",260
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",11
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",27
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",39
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",801
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",23
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4664
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",308
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",32
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","ATSI (any)","Degree-level or higher","Employed, any",9
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",41
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",13
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1526
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",43
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3943
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",286
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Not stated","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",19
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",57
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",11
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",772
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",20
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5330
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",330
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Not stated","Degree-level or higher","Employed, any",5
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",37
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",11
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","ATSI (any)","Degree-level or higher","Employed, any",12
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",47
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",13
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1353
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",30
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4810
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",285
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Not stated","Degree-level or higher","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",39
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","45-49 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",50
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",709
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",33
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5680
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",331
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Not stated","Degree-level or higher","Employed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",38
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","ATSI (any)","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",46
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",11
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1262
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",34
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5131
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",251
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Not stated","Degree-level or higher","Employed, any",9
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",32
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","50-54 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","ATSI (any)","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",28
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",840
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",36
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5509
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",450
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Not stated","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",50
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","ATSI (any)","Degree-level or higher","Employed, any",14
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",39
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1359
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",34
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4797
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",275
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Not stated","Degree-level or higher","Employed, any",5
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",29
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","55-59 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","ATSI (any)","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",29
